Feature,Feature_Name,Pearson_Correlation,Mutual_Information,Max_Correlation,VIF,Target_Leakage,FSS_Score,Decision
coulombic_efficiency_lagged_2,CE (t-2),0.6546168743166332,0.10771441642602123,0.23000419085659926,1.0896416763490293,0.0,0.571982000320326,Keep
coulombic_efficiency_lagged_1,CE (t-1),0.6549823692475615,0.10896151242645948,0.23056986980876487,1.103956808798814,0.0,0.5714760807624403,Keep
cap_rel,Relative Capacity,0.9991308742948388,1.0,0.968349121763457,694.5850017553754,0.0,0.5094785972378306,Keep
date_time_iso_numeric,Timestamp,0.8486246493801856,0.35712346420871616,0.7169484228138823,4.221782806086682,0.0,0.47380371519941783,Remove
dc_internal_resistance,Internal Resistance,0.8863464297579863,0.1398785126260581,0.6981706399112942,4.680865896510534,0.0,0.45695773592270506,Remove
cycle_index,Cycle Index,0.8463593023320096,0.3235442259897936,0.7328348947938055,8.75746841455108,0.0,0.4454040411751455,Remove
ir_rel,Relative Resistance,0.8812263176501115,0.14043875748195134,0.7442400324408637,4.145599905874995,0.0,0.44509117498254186,Remove
energy_rel,Relative Energy,0.9375015770710692,0.6285664841371124,0.9670476998575162,636.6185800548411,0.0,0.43260988178380605,Remove
charge_capacity,Charge Capacity,0.9954421571636274,0.48244955392122063,0.999428398888925,1346.105781950412,0.0,0.4210921348689611,Remove
cycle_pos,Cycle Position,0.8553270938914754,0.36530683464907643,0.8279709194876412,17.254396360660557,0.0,0.41672549699711386,Remove
charge_energy,Charge Energy,0.9340352649218713,0.36634282168006055,0.9606637995318107,395.6768218132873,0.0,0.3941688148879504,Remove
temperature_maximum,Max Temperature,0.5161500759972724,0.16489957735692404,0.8665105796318041,23.344030897212164,0.0,0.2536498556193976,Remove
temperature_average,Average Temperature,0.5458271348703551,0.1591141338983355,0.9151361783162607,77.59021450897984,0.0,0.24291060988315477,Remove
temperature_minimum,Min Temperature,0.32095627991278763,0.14952333045263114,0.9151361783162607,27.65731105438602,0.0,0.167201365892115,Remove
discharge_capacity,Discharge Capacity,0.995965938822542,0.5588280533855252,0.999428398888925,1035.3664549512134,1.0,-inf,Remove (leakage)
discharge_energy,Discharge Energy,0.9443631683896333,0.3956712668775365,0.9670476998575162,156.63605468333876,0.8,-inf,Remove (leakage)
