cell_id,barcode,channel,batch,protocol,split,cycle_index,total_cycles,cycle_index,dc_internal_resistance,temperature_avg,charge_capacity,charge_energy,coulombic_efficiency_lagged_1,coulombic_efficiency_lagged_2,soh,rul
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,3,666,3,0.013805106,34.040955,1.0625807,3.6907594,0.9996334,0.9996224,1.0,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,4,666,4,0.013809051,34.03909,1.0627699,3.690591,0.9996242,0.9996334,1.0,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,5,666,5,0.013821506,34.028435,1.0627916,3.6902335,0.99972796,0.9996242,1.0,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,6,666,6,0.01381885,33.983177,1.0627515,3.6894732,0.9997366,0.99972796,1.0,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,7,666,7,0.013835202,33.982292,1.0626551,3.6894898,0.9997467,0.9997366,1.0,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,8,666,8,0.013852255,33.982082,1.062596,3.6889822,0.9997241,0.9997467,1.0,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,9,666,9,0.013852833,33.97289,1.0624423,3.6884437,0.9997434,0.9997241,0.99982613,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,10,666,10,0.013854645,33.971687,1.0623062,3.6875103,0.99988467,0.9997434,0.9997217,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,11,666,11,0.01388617,33.971687,1.062148,3.686489,0.999861,0.99988467,0.9995786,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,12,666,12,0.01388113,33.970104,1.0617347,3.6852944,0.9998552,0.999861,0.99917185,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,13,666,13,0.013878268,33.971687,1.0614188,3.6843834,0.99987304,0.9998552,0.99894816,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,14,666,14,0.013889088,34.033756,1.0613608,3.683744,0.9997993,0.99987304,0.99885327,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,15,666,15,0.013878533,34.045048,1.0609648,3.681993,0.9998397,0.9997993,0.99859864,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,16,666,16,0.0138963405,34.082844,1.0608145,3.6819875,0.9997215,0.9998397,0.9982664,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,17,666,17,0.013908879,34.10632,1.0605414,3.680681,0.99991256,0.9997215,0.998143,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,18,666,18,0.01391535,34.10741,1.0601616,3.6792295,0.99977875,0.99991256,0.9978369,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,19,666,19,0.013924269,34.126297,1.0599756,3.6786864,0.9997273,0.99977875,0.997682,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,20,666,20,0.013925427,34.12639,1.059717,3.677797,0.9997071,0.9997273,0.99735725,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,21,666,21,0.013932616,34.10741,1.0595236,3.676824,0.9997887,0.9997071,0.9972719,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,22,666,22,0.01393751,34.156693,1.059332,3.676322,0.9996917,0.9997887,0.99703085,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,23,666,23,0.013949298,34.156693,1.0590303,3.675345,0.9997526,0.9996917,0.9966998,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,24,666,24,0.013939162,34.125652,1.0586891,3.6740394,0.9997998,0.9997526,0.9964591,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,25,666,25,0.013959137,34.10536,1.0584344,3.6731825,0.99971914,0.9997998,0.9962513,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,26,666,26,0.01396044,34.068703,1.0582564,3.6726592,0.9996871,0.99971914,0.9960642,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,27,666,27,0.013978183,34.056255,1.0580024,3.6717854,0.99970675,0.9996871,0.9957808,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,28,666,28,0.013960128,34.056255,1.057942,3.6715713,0.99975115,0.99970675,0.9958783,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,29,666,29,0.013987192,34.056255,1.0578166,3.6714392,0.9995963,0.99975115,0.99572664,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,30,666,30,0.013947357,34.096073,1.0578761,3.671065,0.99963003,0.9995963,0.99570733,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,31,666,31,0.013981858,34.137356,1.0576764,3.670544,0.9997056,0.99963003,0.99553055,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,32,666,32,0.0139826005,34.193016,1.0574678,3.6698916,0.9996944,0.9997056,0.99534976,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,33,666,33,0.014002323,34.222485,1.057325,3.6697724,0.9996788,0.9996944,0.9950588,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,34,666,34,0.013990675,34.23691,1.0570048,3.6683183,0.9998361,0.9996788,0.99488556,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,35,666,35,0.013990814,34.23691,1.056818,3.6674023,0.9997073,0.9998361,0.9946408,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,36,666,36,0.01400048,34.23691,1.0566218,3.6671457,0.9997766,0.9997073,0.9944625,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,37,666,37,0.013999842,34.225212,1.0563111,3.666091,0.9997702,0.9997766,0.99415725,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,38,666,38,0.014031044,34.21292,1.0560826,3.6649733,0.99978316,0.9997702,0.99389845,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,39,666,39,0.014011804,34.204082,1.0557624,3.6643343,0.9998271,0.99978316,0.99380696,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,40,666,40,0.014012981,34.110004,1.0556731,3.6638217,0.999616,0.9998271,0.9935909,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,41,666,41,0.014026719,34.107635,1.0553741,3.6634822,0.9997488,0.999616,0.9934637,-1
1,el150800737229,CH16,batch3,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,train,42,666,42,0.014037488,34.102654,1.0555505,3.6642895,0.9995936,0.9997488,0.99342984,-1
