Feature,Mean_RMSE_Increase,Std_RMSE_Increase,Mean_MAE_Increase,Std_MAE_Increase,Mean_R2_Drop,Pct_RMSE_Increase
cap_rel,4.5029073,0.017769003,3.1718724872916937,0.015558938109040701,1.3216859340667724,609.20575
cycle_pos,1.6178472,0.010738146,0.9385025594383478,0.007947879684254635,0.2458157479763031,218.8812
charge_capacity,1.5052502,0.012688264,1.0598657000809908,0.00795386815426619,0.22039316296577455,203.64778
charge_energy,0.36564177,0.0057124584,0.3654126776382327,0.0028883479791620265,0.03308744430541992,49.468277
energy_rel,0.235429,0.003456788,0.25551842991262674,0.002336616732866333,0.01979948878288269,31.851576
ir_rel,0.10504786,0.0031751718,0.08190176682546735,0.0013711983190809384,0.008162593841552735,14.212097
coulombic_efficiency_lagged_2,0.10088897,0.0019356917,0.06930078379809856,0.0013832883307274186,0.00781855583190918,13.649434
dc_internal_resistance,0.06745578,0.0021468294,0.04928915994241834,0.0010634402350080266,0.00511702299118042,9.126204
coulombic_efficiency_lagged_1,0.029060978,0.0009855607,0.03502553328871727,0.0012022179545972303,0.0021496832370758055,3.9317076
temperature_avg,0.017807644,0.0014204752,0.019117766059935093,0.0008491740820518694,0.0013074994087219239,2.4092252
