Feature,Mean_RMSE_Increase,Std_RMSE_Increase,Mean_MAE_Increase,Std_MAE_Increase,Mean_R2_Drop,Pct_RMSE_Increase
charge_capacity,1.8765253,0.01853011,1.161954952403903,0.013367487178144516,0.2506788015365601,443.88724
cap_rel,1.6196864,0.016717512,0.952417328953743,0.00849100086684166,0.19595335721969603,383.1327
charge_energy,1.1926876,0.015528766,0.6643544137477875,0.006009977126685773,0.11930416822433472,282.1272
energy_rel,0.74551475,0.004999579,0.4911835677921772,0.004441027171502781,0.05820777416229248,176.34961
cycle_pos,0.49807954,0.009248386,0.2906640525907278,0.003227336113465743,0.03284422755241394,117.819435
initial_capacity,0.3938293,0.006757632,0.29487117659300566,0.003672238435628502,0.023953932523727416,93.15931
cycle_norm,0.33908716,0.004114789,0.2654698910191655,0.0021221349235519644,0.019712334871292113,80.2102
dc_internal_resistance,0.3132931,0.008593925,0.1828248193487525,0.0036425624512531666,0.01781911849975586,74.10868
date_time_iso_numeric,0.20302269,0.0070380704,0.11559674516320229,0.0028151389143656357,0.010448765754699708,48.024498
temperature_average,0.19870195,0.0076190396,0.12847616337239742,0.0027692453393828452,0.01018473505973816,47.002438
cycle_index,0.15971383,0.003681929,0.13470666483044624,0.0018943655202872782,0.007879149913787842,37.7799
ir_rel,0.11823498,0.0015377068,0.07305330829694867,0.0013409532691521684,0.005591851472854614,27.968182
temperature_maximum,0.10948251,0.002824291,0.07958990754559636,0.0015173958296272987,0.005131149291992187,25.897806
dc_ir_norm,0.10882833,0.0041383565,0.07542937528342009,0.0019858780955412194,0.0050974547863006595,25.743061
temperature_minimum,0.061590515,0.0032326432,0.0641289260238409,0.001610532075929637,0.0027421295642852785,14.569078
coulombic_efficiency_lagged_1,0.04982272,0.0014705653,0.026403376832604408,0.0011319072774856897,0.002189129590988159,11.785438
initial_resistance,0.048108358,0.0015849659,0.04389598499983549,0.0014336648868231517,0.0021097838878631594,11.3799095
coulombic_efficiency_lagged_2,-0.000174281,0.0019591667,0.0024481210857629776,0.00065665031995228,-7.027387619018555e-06,-0.041225724
