y_true,y_pred,y_std,ci_low,ci_high,error
1.0,0.97334707,0.010401138,0.95296085,0.9937333,0.026652932
1.0,0.9738971,0.010028545,0.95424116,0.99355304,0.0261029
1.0,0.97397774,0.010123168,0.9541363,0.9938192,0.026022255
1.0,0.97420716,0.008818602,0.9569227,0.9914916,0.025792837
1.0,0.9746656,0.010524413,0.9540377,0.99529344,0.025334418
1.0,0.975074,0.007743746,0.95989627,0.9902517,0.024926007
1.0,0.9735299,0.008992645,0.9559043,0.99115545,0.026470125
1.0,0.9710338,0.0106994165,0.95006293,0.9920047,0.028966188
1.0,0.9754345,0.008655706,0.9584693,0.9923997,0.024565518
1.0,0.97192764,0.008383425,0.95549613,0.98835915,0.028072357
1.0,0.9754399,0.00991519,0.9560061,0.9948737,0.024560094
1.0,0.9721539,0.0103366645,0.95189404,0.99241376,0.027846098
1.0,0.97288376,0.009729463,0.953814,0.9919535,0.02711624
1.0,0.972289,0.009920673,0.9528445,0.99173355,0.027710974
1.0,0.9759088,0.008218654,0.95980024,0.9920174,0.024091184
1.0,0.9759587,0.009195773,0.957935,0.99398243,0.024041295
1.0,0.9740123,0.009221655,0.95593786,0.99208677,0.025987685
1.0,0.97585875,0.010506816,0.9552654,0.9964521,0.024141252
1.0,0.976893,0.010358146,0.956591,0.997195,0.023106992
1.0,0.9753487,0.0088019315,0.9580969,0.9926005,0.024651289
1.0,0.9763309,0.008841765,0.959001,0.99366075,0.023669124
1.0,0.9785371,0.007767234,0.9633133,0.9937609,0.021462917
1.0,0.97416854,0.008267131,0.95796496,0.9903721,0.025831461
1.0,0.9762601,0.0092653,0.95810014,0.9944201,0.023739874
1.0,0.9738053,0.009618022,0.95495397,0.99265665,0.026194692
1.0,0.97298455,0.008453425,0.95641583,0.9895533,0.027015448
1.0,0.9786022,0.00671685,0.9654372,0.99176717,0.021397829
1.0,0.97756785,0.0063763647,0.9650702,0.9900655,0.022432148
1.0,0.9775389,0.008263997,0.96134144,0.9937363,0.022461116
1.0,0.9773172,0.008978017,0.9597203,0.9949141,0.022682786
1.0,0.97639763,0.0075485045,0.96160257,0.9911927,0.023602366
1.0,0.9780293,0.008069458,0.96221316,0.99384546,0.02197069
1.0,0.9765852,0.008006117,0.9608932,0.9922772,0.02341479
1.0,0.97601014,0.007910946,0.9605047,0.9915156,0.023989856
1.0,0.9765456,0.008474623,0.9599353,0.99315584,0.023454428
1.0,0.9789508,0.0065148254,0.96618176,0.99171984,0.021049201
1.0,0.9764625,0.008340009,0.9601161,0.9928089,0.023537517
1.0,0.9759555,0.0081630815,0.9599559,0.9919551,0.024044514
1.0,0.978521,0.006476942,0.96582615,0.9912158,0.02147901
1.0,0.9786428,0.0067180153,0.9654755,0.99181014,0.021357179
1.0,0.97779983,0.007401454,0.96329296,0.9923067,0.022200167
1.0,0.9757666,0.008366908,0.95936745,0.99216574,0.0242334
1.0,0.9773703,0.008009826,0.96167105,0.9930696,0.022629678
1.0,0.9792483,0.005950105,0.9675861,0.9909105,0.020751715
1.0,0.980196,0.005706224,0.9690118,0.9913802,0.019804
1.0,0.9777077,0.008117008,0.96179837,0.993617,0.022292316
1.0,0.97938323,0.0051582153,0.96927315,0.9894933,0.02061677
1.0,0.9778203,0.008855441,0.96046364,0.9951769,0.022179723
1.0,0.97921175,0.006888864,0.96570957,0.9927139,0.020788252
1.0,0.97640234,0.008903027,0.9589524,0.99385226,0.023597658
1.0,0.97844964,0.00592536,0.9668359,0.99006337,0.021550357
1.0,0.980414,0.006963587,0.96676534,0.9940626,0.019586027
1.0,0.98013926,0.0055661392,0.96922964,0.9910489,0.019860744
1.0,0.9784467,0.007157843,0.96441734,0.9924761,0.021553278
1.0,0.9820006,0.005586878,0.9710503,0.99295086,0.01799941
1.0,0.9801085,0.0057783956,0.96878284,0.99143416,0.0198915
1.0,0.9800871,0.005482534,0.96934134,0.99083287,0.019912899
1.0,0.98187774,0.0051129297,0.9718564,0.9918991,0.018122256
1.0,0.9812333,0.005439033,0.97057277,0.9918938,0.018766701
1.0,0.981727,0.0059508346,0.9700634,0.9933906,0.018272996
1.0,0.9799378,0.0065915254,0.9670184,0.99285716,0.020062208
1.0,0.9807623,0.006091058,0.96882385,0.99270076,0.019237697
1.0,0.9803278,0.005513599,0.9695211,0.99113446,0.019672215
1.0,0.9792409,0.0056126663,0.9682401,0.9902417,0.020759106
1.0,0.99043417,0.0054981126,0.9796579,1.0012105,0.00956583
1.0,0.98921335,0.00516716,0.9790857,0.999341,0.010786653
1.0,0.98862785,0.006743158,0.97541124,1.0018444,0.011372149
1.0,0.988582,0.006211002,0.9764084,1.0007555,0.011417985
1.0,0.98968744,0.0054661944,0.9789737,1.0004011,0.010312557
1.0,0.98944736,0.0067592007,0.9761993,1.0026954,0.010552645
