y_true,y_pred,y_std,ci_low,ci_high,error
1.0,0.9764668,0.008366767,0.9600679,0.9928656,0.023533225
1.0,0.97659284,0.01058352,0.9558491,0.99733657,0.023407161
1.0,0.9800297,0.009283985,0.9618331,0.9982263,0.019970298
1.0,0.9766646,0.00921915,0.9585951,0.9947341,0.023335397
1.0,0.97954804,0.00860298,0.9626862,0.9964099,0.020451963
1.0,0.97885275,0.0072325435,0.964677,0.9930285,0.021147251
1.0,0.98216856,0.0055162734,0.97135663,0.9929805,0.017831445
1.0,0.98086685,0.00871679,0.96378195,0.99795175,0.01913315
1.0,0.9785609,0.0093566,0.960222,0.99689984,0.021439075
1.0,0.9779721,0.011221522,0.9559779,0.99996626,0.02202791
1.0,0.97912294,0.0079659885,0.9635096,0.99473625,0.020877063
1.0,0.980793,0.008368958,0.96438986,0.99719614,0.019207
1.0,0.97973007,0.00928618,0.96152914,0.997931,0.02026993
1.0,0.9783982,0.0106440885,0.9575358,0.9992606,0.021601796
1.0,0.9784758,0.008881522,0.96106803,0.9958836,0.02152419
1.0,0.9794117,0.008499482,0.96275276,0.9960707,0.020588279
1.0,0.9777151,0.008882393,0.9603056,0.9951246,0.022284925
1.0,0.9794018,0.008615108,0.9625162,0.99628747,0.020598173
1.0,0.9806255,0.0076954574,0.96554244,0.9957086,0.01937449
1.0,0.97918266,0.008560579,0.96240395,0.99596137,0.02081734
1.0,0.97939575,0.008625604,0.96248955,0.99630195,0.020604253
1.0,0.97785944,0.008897649,0.9604201,0.9952988,0.022140563
1.0,0.9792263,0.007920167,0.96370274,0.99474984,0.020773709
1.0,0.9801717,0.009370013,0.9618065,0.9985369,0.01982832
1.0,0.9800087,0.0075453795,0.9652198,0.99479765,0.019991279
1.0,0.9814195,0.007014638,0.9676708,0.9951682,0.018580496
1.0,0.98010254,0.008252991,0.9639267,0.9962784,0.019897461
1.0,0.9785973,0.009080852,0.9607988,0.99639577,0.021402717
1.0,0.9799243,0.009749649,0.960815,0.99903363,0.020075679
1.0,0.97863096,0.008018801,0.9629141,0.9943478,0.02136904
1.0,0.97878104,0.0070307776,0.96500075,0.99256134,0.021218956
1.0,0.9822429,0.0059726746,0.9705364,0.99394935,0.017757118
1.0,0.97925496,0.008106827,0.96336555,0.99514437,0.020745039
1.0,0.9768096,0.009746955,0.9577056,0.9959136,0.02319038
1.0,0.98019874,0.00845539,0.96362615,0.99677134,0.019801259
1.0,0.98016524,0.0088141635,0.9628895,0.997441,0.019834757
1.0,0.97838646,0.007994113,0.962718,0.9940549,0.021613538
1.0,0.97600764,0.0099769235,0.95645285,0.99556243,0.02399236
1.0,0.97971845,0.008841537,0.96238905,0.99704784,0.020281553
1.0,0.9791199,0.008613528,0.96223736,0.99600244,0.020880103
1.0,0.97915894,0.009916909,0.9597218,0.9985961,0.020841062
1.0,0.98013705,0.007889508,0.96467364,0.99560046,0.01986295
1.0,0.9782965,0.007774499,0.9630585,0.99353456,0.021703482
1.0,0.979904,0.0074697128,0.96526337,0.9945446,0.020096004
1.0,0.9803494,0.008427991,0.9638306,0.99686825,0.019650578
1.0,0.97755533,0.010679753,0.956623,0.99848765,0.022444665
1.0,0.9767252,0.008531486,0.9600035,0.99344695,0.02327478
1.0,0.98084337,0.009886234,0.9614664,1.0002204,0.019156635
1.0,0.9780579,0.009088997,0.96024346,0.9958724,0.021942079
1.0,0.97954804,0.008296717,0.96328646,0.9958096,0.020451963
1.0,0.9794587,0.007914106,0.96394706,0.9949703,0.02054131
1.0,0.9776172,0.010244799,0.9575374,0.997697,0.022382796
1.0,0.9793519,0.007994291,0.96368307,0.9950207,0.020648122
1.0,0.98153913,0.0069588074,0.96789986,0.9951784,0.01846087
1.0,0.9791835,0.008589308,0.96234846,0.9960185,0.020816505
1.0,0.9800624,0.008895268,0.9626277,0.99749714,0.019937575
1.0,0.97983474,0.0072569996,0.96561104,0.99405843,0.020165265
1.0,0.9798011,0.00850939,0.9631227,0.9964795,0.020198882
1.0,0.9775348,0.008445318,0.96098197,0.9940876,0.022465229
1.0,0.97684914,0.011488326,0.954332,0.9993663,0.023150861
1.0,0.9802549,0.0073430603,0.9658625,0.99464726,0.019745111
1.0,0.9786132,0.009046959,0.9608812,0.9963452,0.021386802
1.0,0.9787218,0.0078004706,0.96343285,0.99401075,0.021278203
1.0,0.97840196,0.008256953,0.96221834,0.9945856,0.021598041
1.0,0.97919196,0.008929002,0.96169114,0.9966928,0.020808041
1.0,0.97968954,0.009253313,0.96155304,0.99782604,0.020310462
1.0,0.97909486,0.010256442,0.95899224,0.9991975,0.020905137
1.0,0.9774582,0.009533733,0.95877206,0.9961443,0.022541821
1.0,0.98057103,0.007887193,0.96511215,0.9960299,0.019428968
1.0,0.9788199,0.009005122,0.96116984,0.99647,0.021180093
1.0,0.977765,0.008585546,0.9609374,0.99459267,0.022234976
1.0,0.976178,0.012619381,0.95144403,1.000912,0.02382201
1.0,0.97514343,0.0102833165,0.9549881,0.99529874,0.024856567
1.0,0.9792692,0.009481042,0.9606864,0.997852,0.020730793
1.0,0.98138696,0.009968058,0.9618496,1.0009243,0.01861304
1.0,0.97991365,0.008465815,0.9633207,0.99650663,0.020086348
1.0,0.97765195,0.009635083,0.9587672,0.99653673,0.022348046
1.0,0.9793475,0.00942207,0.9608803,0.9978148,0.020652473
1.0,0.9772785,0.009951311,0.9577739,0.996783,0.022721529
1.0,0.9797116,0.008902512,0.9622627,0.9971605,0.020288408
1.0,0.97982836,0.008731149,0.9627153,0.9969414,0.020171642
1.0,0.98039407,0.008557034,0.9636223,0.99716586,0.019605935
1.0,0.97912496,0.0108493585,0.95786023,1.0003897,0.020875037
1.0,0.9792263,0.008765205,0.9620465,0.9964061,0.020773709
1.0,0.97968125,0.009544479,0.9609741,0.9983884,0.020318747
1.0,0.9808793,0.0066211275,0.9679019,0.9938567,0.019120693
1.0,0.9818292,0.008640302,0.96489424,0.9987642,0.018170774
1.0,0.98193055,0.0068411175,0.96852195,0.99533916,0.018069446
1.0,0.9804191,0.009347814,0.9620974,0.9987408,0.0195809
1.0,0.97883207,0.009314508,0.96057564,0.9970885,0.021167934
1.0,0.9820742,0.0077969185,0.9667922,0.9973562,0.017925799
1.0,0.97991997,0.00689844,0.966399,0.9934409,0.02008003
1.0,0.9783262,0.0071480395,0.96431607,0.99233633,0.021673799
1.0,0.98008174,0.008694222,0.96304107,0.9971224,0.019918263
1.0,0.9793227,0.0083484035,0.9629598,0.9956855,0.020677328
1.0,0.9803723,0.00823684,0.9642281,0.9965165,0.01962769
1.0,0.97765785,0.0101779895,0.957709,0.9976067,0.022342145
1.0,0.97901887,0.0066871075,0.96591216,0.9921256,0.020981133
1.0,0.97996,0.009414033,0.9615085,0.99841154,0.020039976
1.0,0.97913903,0.008149106,0.9631668,0.9951113,0.02086097
1.0,0.9794548,0.008058108,0.9636609,0.99524873,0.020545185
1.0,0.980124,0.008657066,0.96315616,0.9970918,0.019876003
1.0,0.9801164,0.007841565,0.96474695,0.9954859,0.019883573
1.0,0.98086596,0.0079629505,0.9652586,0.9964733,0.019134045
1.0,0.9790936,0.00863388,0.9621712,0.996016,0.020906389
1.0,0.9790115,0.007910968,0.963506,0.99451697,0.020988524
1.0,0.98101074,0.00754803,0.9662166,0.99580485,0.018989265
1.0,0.978983,0.008574315,0.96217734,0.99578863,0.021017015
1.0,0.9788048,0.011425103,0.9564116,1.001198,0.021195173
1.0,0.978098,0.008473528,0.96148986,0.9947061,0.021902025
1.0,0.9801658,0.008421816,0.96365905,0.9966725,0.01983422
1.0,0.9813748,0.0066666803,0.9683081,0.9944415,0.0186252
1.0,0.98057264,0.0077109416,0.96545917,0.9956861,0.01942736
1.0,0.9802234,0.007990364,0.9645623,0.99588454,0.019776583
1.0,0.9802434,0.007564281,0.9654174,0.9950694,0.019756615
0.99896276,0.97751844,0.008032915,0.96177393,0.99326295,0.02144432
1.0,0.9766682,0.008338801,0.9603241,0.99301225,0.023331821
1.0,0.981572,0.005974151,0.96986264,0.9932813,0.018428028
1.0,0.9813395,0.0066795116,0.96824765,0.9944314,0.018660486
1.0,0.9813666,0.006735806,0.9681644,0.99456877,0.018633425
1.0,0.97858787,0.0073241135,0.9642326,0.9929431,0.021412134
1.0,0.9775889,0.0072918637,0.96329683,0.99188095,0.022411108
1.0,0.97893447,0.007511988,0.964211,0.99365795,0.021065533
1.0,0.9783912,0.008120245,0.9624755,0.99430686,0.02160883
0.99983186,0.9783985,0.0071010715,0.9644804,0.9923166,0.021433353
0.99978775,0.97628194,0.0074537946,0.9616725,0.9908914,0.023505807
0.9997205,0.9770574,0.007284052,0.96278065,0.99133414,0.022663116
0.9998584,0.9776524,0.0069238795,0.9640816,0.99122316,0.022206008
0.9999759,0.9835227,0.0062123057,0.9713466,0.9956988,0.016453207
1.0,0.98416924,0.007426841,0.96961266,0.99872583,0.015830755
0.99997556,0.9851046,0.0061056684,0.9731375,0.99707174,0.014870942
0.9999662,0.98243815,0.006378617,0.9699361,0.9949402,0.017528057
0.99992234,0.9847921,0.0070033222,0.9710656,0.99851865,0.015130222
0.9998071,0.985056,0.007006662,0.97132295,0.998789,0.014751136
0.99966234,0.98463583,0.0073079,0.97031236,0.9989593,0.01502651
0.9994324,0.9848938,0.0070346743,0.9711058,0.9986818,0.014538586
0.9994488,0.98244494,0.007928432,0.96690524,0.99798465,0.017003834
0.99937636,0.98473954,0.006499241,0.972001,0.99747807,0.014636815
0.9993299,0.98354125,0.007868868,0.96811825,0.99896425,0.015788674
0.9992571,0.9858428,0.007637151,0.970874,1.0008117,0.013414264
0.99921155,0.983444,0.007544327,0.9686571,0.9982309,0.015767574
0.9991136,0.9854826,0.006925377,0.9719088,0.99905634,0.013631046
0.999018,0.9826451,0.007844785,0.9672693,0.9980209,0.01637292
0.9990217,0.9796976,0.008288608,0.9634519,0.99594325,0.019324124
0.9989974,0.9834005,0.0064418213,0.97077453,0.9960265,0.015596867
0.9989871,0.9823773,0.0067889593,0.9690709,0.99568367,0.016609788
0.9989759,0.984174,0.0067413184,0.97096103,0.997387,0.01480186
0.99901634,0.98272187,0.007290793,0.9684319,0.99701184,0.01629448
0.99913365,0.9845238,0.006953643,0.97089463,0.9981529,0.014609873
0.9991849,0.9821891,0.0069238753,0.96861833,0.9957599,0.016995788
0.9990091,0.9783353,0.00820106,0.96226126,0.9944094,0.020673752
0.9988434,0.9806702,0.0080575915,0.9648773,0.9964631,0.018173158
0.9987244,0.9814446,0.006163431,0.9693643,0.9935249,0.017279804
0.9986639,0.98216975,0.0066636647,0.96910894,0.99523056,0.016494155
0.998608,0.9830401,0.004574698,0.9740737,0.9920065,0.015567899
0.99875426,0.9848584,0.0053446344,0.97438294,0.99533385,0.013895869
0.9988207,0.9837186,0.006470133,0.9710371,0.99640006,0.015102148
0.99889255,0.9861309,0.005743301,0.974874,0.99738777,0.0127616525
0.9989002,0.9845082,0.0051682433,0.97437847,0.99463797,0.014391959
0.9988722,0.9816601,0.006960291,0.96801794,0.9953023,0.017212093
0.99883074,0.98321515,0.007233323,0.96903783,0.9973925,0.0156155825
0.99878055,0.98515075,0.007621536,0.9702125,1.0000889,0.013629794
0.99856234,0.98317873,0.006832321,0.96978736,0.9965701,0.015383601
0.9983412,0.98397535,0.0060623186,0.9720932,0.9958575,0.014365852
0.9983315,0.98162997,0.008141176,0.96567327,0.99758667,0.01670152
0.9982728,0.98272985,0.007337328,0.9683487,0.997111,0.015542924
0.9982206,0.9860521,0.006713009,0.9728946,0.9992096,0.012168527
0.99817055,0.9803707,0.005997854,0.96861494,0.99212646,0.017799854
0.99809575,0.9823612,0.005365759,0.9718443,0.9928781,0.015734553
0.9980517,0.9818639,0.008116511,0.96595556,0.9977723,0.016187787
0.9979471,0.9806536,0.00835373,0.96428025,0.9970269,0.017293513
0.99792284,0.98060936,0.007403583,0.9660983,0.9951204,0.01731348
0.9978662,0.9829948,0.0069396677,0.9693931,0.9965965,0.0148714185
0.9978078,0.9826843,0.0062543913,0.9704257,0.9949429,0.0151234865
0.9977757,0.9844083,0.0069023664,0.9708797,0.99793696,0.013367355
0.9978116,0.98333204,0.00687806,0.969851,0.99681306,0.014479578
0.99788755,0.9828194,0.007689543,0.96774787,0.9978909,0.015068173
0.99786633,0.9832526,0.00664156,0.9702351,0.99627006,0.014613748
0.9977181,0.98260844,0.0077626486,0.96739364,0.99782324,0.015109658
0.9976113,0.98197204,0.007392622,0.9674825,0.9964616,0.015639246
0.9975784,0.9813353,0.0069262804,0.9677598,0.9949108,0.0162431
0.9974996,0.9820737,0.0071936534,0.9679742,0.99617326,0.015425861
0.99749506,0.9822583,0.00666693,0.96919113,0.9953255,0.015236735
0.99758565,0.9817917,0.0073142797,0.9674557,0.99612767,0.01579398
0.9976965,0.98313093,0.005660534,0.9720363,0.99422556,0.014565587
0.997751,0.98387057,0.005584996,0.972924,0.99481714,0.013880432
0.9977851,0.98346764,0.005994052,0.9717193,0.99521595,0.014317453
0.99777937,0.9830324,0.0076292506,0.9680791,0.9979857,0.014746964
0.99778664,0.9831017,0.0062194904,0.9709115,0.99529195,0.014684916
0.99775165,0.98208296,0.0070348624,0.9682946,0.9958713,0.01566869
0.99755514,0.98270553,0.0053021107,0.9723134,0.99309766,0.014849603
0.9972349,0.9821762,0.006882438,0.9686866,0.9956658,0.015058696
0.997086,0.98675704,0.0053927694,0.9761872,0.99732685,0.0103289485
0.99698114,0.9863443,0.0063290857,0.9739393,0.99874926,0.010636866
0.9969658,0.98541033,0.0066977316,0.97228277,0.9985379,0.011555493
0.9969205,0.98583037,0.005695561,0.9746671,0.99699366,0.011090159
0.99685943,0.9832946,0.0069833538,0.96960723,0.996982,0.013564825
0.99680585,0.9829865,0.0074727,0.96834004,0.997633,0.013819337
0.9967482,0.98301065,0.0070403083,0.96921164,0.99680966,0.013737559
0.99676335,0.9824247,0.00788432,0.9669714,0.99787796,0.014338672
0.99669075,0.9835327,0.0071711414,0.9694773,0.99758816,0.013158023
0.99663156,0.98522574,0.0056746155,0.9741035,0.99634796,0.011405826
0.9966002,0.98545057,0.0070494027,0.97163373,0.9992674,0.011149645
0.99659383,0.985835,0.005651316,0.97475845,0.9969116,0.010758817
0.99656904,0.98487735,0.006007218,0.9731032,0.9966515,0.0116916895
0.9964882,0.9834605,0.006811125,0.97011065,0.9968103,0.013027728
0.9964924,0.9834622,0.008331289,0.96713287,0.99979156,0.013030171
0.9964026,0.9838324,0.006628596,0.9708404,0.99682444,0.012570202
0.9963708,0.98158854,0.007833898,0.9662341,0.996943,0.01478225
0.99628234,0.9819919,0.007595964,0.9671038,0.99688,0.014290452
0.9962777,0.9838917,0.006736273,0.97068864,0.9970948,0.012385964
0.99630904,0.9844685,0.005824682,0.97305214,0.9958849,0.011840522
0.9963402,0.9852176,0.0056354026,0.9741722,0.99626297,0.011122644
0.99636406,0.98480743,0.0058460822,0.9733491,0.99626577,0.011556625
0.99634194,0.9850682,0.0049212244,0.9754226,0.9947138,0.011273742
0.9963159,0.98344713,0.006360751,0.97098005,0.9959142,0.012868762
0.99627596,0.98337245,0.006579686,0.97047627,0.99626863,0.0129035115
0.9962856,0.983853,0.0064657624,0.9711801,0.9965259,0.012432635
0.9960943,0.98502296,0.005406606,0.97442603,0.9956199,0.011071324
0.9959125,0.9849758,0.0066664116,0.97190964,0.998042,0.010936677
0.9958551,0.982476,0.006093032,0.97053367,0.9944183,0.013379097
0.9958357,0.9835709,0.005793266,0.97221607,0.9949257,0.012264848
0.9957689,0.98316556,0.0062725553,0.9708713,0.9954598,0.0126033425
0.9957046,0.9824685,0.0063186106,0.970084,0.99485296,0.013236105
0.99562645,0.98255646,0.006744148,0.96933794,0.995775,0.013069987
0.99560916,0.9840702,0.005098813,0.9740765,0.99406385,0.011538982
0.99556196,0.9839219,0.0052808337,0.9735715,0.9942723,0.011640072
0.99553555,0.9840791,0.0059858183,0.9723469,0.99581134,0.01145643
0.99546856,0.98373747,0.005718631,0.97252893,0.994946,0.011731088
0.99544007,0.98301816,0.005511359,0.9722159,0.9938204,0.012421906
0.9955911,0.98238873,0.006748029,0.9691626,0.9956149,0.013202369
0.99607176,0.98218346,0.005960631,0.97050065,0.99386626,0.013888299
0.996338,0.9831158,0.0070488728,0.9693,0.9969316,0.013222218
0.99642384,0.9823229,0.0053144684,0.97190654,0.9927392,0.014100969
0.9959329,0.9810703,0.005068687,0.9711357,0.9910049,0.014862597
0.9962,0.9811556,0.0061725373,0.9690574,0.99325377,0.015044451
0.99615115,0.9802802,0.0061856885,0.9681563,0.99240416,0.015870929
