soh_prev,coulombic_eff,dc_internal_resistance,temperature_max,cycle_norm,soh,cycle_index,cell_id,protocol,initial_capacity,eol_cycle
0.9974921,1.0002128,0.01792894,34.573605,0.004140787,0.9999837,2.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9999837,1.0003859,0.018011536,34.393,0.0062111802,0.9999761,3.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9999761,0.99986225,0.017670782,34.299545,0.008281574,1.0,4.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.000082,0.01761336,35.85921,0.010351967,1.0,5.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,0.99997264,0.017461356,34.923916,0.0124223605,1.0,6.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0001416,0.017321244,34.68514,0.014492754,1.0,7.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000994,0.017378973,34.089195,0.016563147,1.0,8.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.000114,0.01737897,34.245373,0.01863354,1.0,9.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000424,0.017258193,33.962795,0.020703934,1.0,10.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0001038,0.017246837,34.493946,0.022774328,1.0,11.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000198,0.017082071,34.5316,0.024844721,1.0,12.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000526,0.017042315,34.34538,0.026915114,1.0,13.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000013,0.017103778,34.88372,0.028985508,1.0,14.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000194,0.01696773,34.83329,0.031055901,1.0,15.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,0.9987831,0.016770205,35.040497,0.033126295,1.0,16.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000919,0.016872924,35.182472,0.035196688,0.99999136,17.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99999136,1.000009,0.01675968,35.181408,0.03726708,1.0,18.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000497,0.016737364,34.65382,0.039337475,1.0,19.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
1.0,1.0000938,0.016972397,35.12505,0.04140787,0.99970734,20.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99970734,0.99998385,0.01670057,34.85189,0.04347826,0.99990934,21.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99990934,1.0000069,0.016806003,34.041813,0.045548655,0.99994314,22.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99994314,1.000035,0.01688951,34.649612,0.04761905,0.9993234,23.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9993234,0.99999386,0.016758312,34.579117,0.049689442,0.999372,24.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.999372,0.99999774,0.016886767,34.442253,0.051759835,0.9993056,25.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9993056,1.0000426,0.016853407,34.671814,0.05383023,0.99899346,26.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99899346,0.9999816,0.016718425,35.310444,0.055900622,0.99916583,27.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99916583,0.9999896,0.01662936,35.20536,0.057971016,0.99879634,28.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99879634,1.0000088,0.016713457,35.034336,0.06004141,0.9987144,29.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9987144,1.0000054,0.01667917,34.510494,0.062111802,0.9985077,30.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9985077,1.0000609,0.016844094,34.65383,0.06418219,0.99796444,31.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99796444,1.0000037,0.016716707,35.669266,0.06625259,0.9981484,32.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9981484,0.999951,0.016555136,35.626976,0.06832298,0.99790484,33.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99790484,1.0000105,0.016835716,35.74673,0.070393376,0.9971689,34.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9971689,0.99994785,0.016592335,36.094303,0.072463766,0.997407,35.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.997407,0.9999849,0.016563382,35.503757,0.07453416,0.99697316,36.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99697316,1.0000547,0.01681085,35.801373,0.07660455,0.99686444,37.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99686444,0.9999476,0.016546208,35.664745,0.07867495,0.99721974,38.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99721974,1.0000211,0.016526079,34.787346,0.08074534,0.9968527,39.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9968527,1.0000615,0.016742593,35.077175,0.08281574,0.99664557,40.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99664557,1.0000249,0.01665178,35.09876,0.084886126,0.9969063,41.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9969063,0.9999994,0.01669547,35.21929,0.08695652,0.99681437,42.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99681437,1.0000126,0.016742742,35.54496,0.08902691,0.99643654,43.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99643654,0.99999166,0.016544875,36.13862,0.09109731,0.9964246,44.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9964246,1.000006,0.01643493,35.629444,0.0931677,0.9959621,45.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9959621,0.9999815,0.016634285,35.6335,0.0952381,0.99582946,46.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99582946,1.0000782,0.016534934,35.07908,0.09730849,0.9956938,47.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9956938,1.000021,0.016649,34.825436,0.099378884,0.99503225,48.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99503225,1.0001026,0.016706528,35.257366,0.10144927,0.99520856,49.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99520856,0.9999702,0.016606268,35.829857,0.10351967,0.9951964,50.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9951964,0.9999376,0.016770395,34.92009,0.10559006,0.9947129,51.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9947129,1.0000281,0.016717194,35.58039,0.10766046,0.99487734,52.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99487734,1.0000423,0.01659559,36.86005,0.10973085,0.994834,53.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.994834,0.9999583,0.016666494,35.33803,0.111801244,0.9939127,54.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9939127,1.0000793,0.016638786,35.448513,0.113871634,0.9942248,55.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9942248,1.000017,0.016609631,35.59485,0.11594203,0.99410594,56.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99410594,1.0000267,0.016893215,35.112743,0.11801242,0.99340594,57.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99340594,0.9999984,0.016673895,36.463253,0.12008282,0.993576,58.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.993576,0.9999745,0.01646832,35.59302,0.12215321,0.99297327,59.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99297327,1.0000377,0.01690941,35.17708,0.124223605,0.9929503,60.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9929503,0.9999749,0.016628016,35.771473,0.126294,0.9932326,61.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9932326,0.999948,0.016499408,35.585766,0.12836438,0.9930033,62.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9930033,1.0000395,0.016765201,35.439747,0.13043478,0.9925945,63.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9925945,1.0000297,0.01675005,36.314743,0.13250518,0.9925846,64.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9925846,1.0000281,0.016537407,35.566814,0.13457558,0.9918709,65.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9918709,1.0000402,0.016668336,35.762215,0.13664596,0.9920616,66.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9920616,1.0000141,0.016666757,35.59256,0.13871635,0.9920194,67.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9920194,1.0000613,0.016666757,35.318268,0.14078675,0.9913879,68.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9913879,1.0000811,0.016662851,35.971222,0.14285715,0.99168617,69.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.99168617,0.99998564,0.01655664,36.91744,0.14492753,0.9916139,70.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9916139,1.0000452,0.016744986,35.70244,0.14699793,0.9906676,71.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9906676,1.0000924,0.016657935,35.876057,0.14906833,0.9909382,72.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9909382,1.0000398,0.016635366,36.138744,0.15113872,0.9908438,73.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9908438,1.0000336,0.016815549,35.420357,0.1532091,0.9901772,74.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9901772,1.0000106,0.016678546,35.382862,0.1552795,0.9904404,75.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9904404,1.0000622,0.016718708,34.49625,0.1573499,0.9904179,76.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9904179,1.0000813,0.016865741,34.909508,0.1594203,0.98977995,77.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98977995,1.0000257,0.016815592,35.390373,0.16149068,0.9898219,78.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9898219,1.0000072,0.016740454,35.793987,0.16356108,0.9897167,79.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9897167,1.000107,0.016838033,35.771526,0.16563147,0.989332,80.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.989332,0.99999803,0.016657732,36.36285,0.16770187,0.98929685,81.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98929685,0.9999884,0.016523756,35.541492,0.16977225,0.98859394,82.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98859394,1.0000436,0.016892163,35.555847,0.17184265,0.9885401,83.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9885401,0.99999887,0.016742058,35.54785,0.17391305,0.98835254,84.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98835254,1.0000885,0.016638722,36.098747,0.17598344,0.98806447,85.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98806447,1.0000508,0.016678493,35.73884,0.17805383,0.98815054,86.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98815054,0.9987213,0.016655685,34.77483,0.18012422,0.98811406,87.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98811406,1.0001394,0.01686817,35.445892,0.18219462,0.98752177,88.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98752177,1.0000249,0.016737197,35.819504,0.18426502,0.9877539,89.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9877539,1.0000712,0.016626637,37.402428,0.1863354,0.9878184,90.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9878184,0.99998087,0.016604913,36.103436,0.1884058,0.9869978,91.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9869978,1.0000962,0.016650569,36.495766,0.1904762,0.9870518,92.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9870518,1.0000747,0.016578639,35.024963,0.19254659,0.98643667,93.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98643667,1.0001469,0.016871288,35.494823,0.19461697,0.9861798,94.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9861798,1.0000885,0.016701862,35.636738,0.19668737,0.9864039,95.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9864039,1.0000441,0.01674337,34.88863,0.19875777,0.98614866,96.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98614866,1.000165,0.016878758,35.00787,0.20082815,0.98578423,97.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98578423,1.0000136,0.016808523,35.127754,0.20289855,0.98578334,98.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98578334,1.0000614,0.01682257,35.321514,0.20496894,0.98580915,99.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98580915,1.0001562,0.01689407,36.16188,0.20703934,0.9854887,100.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9854887,1.0000368,0.016688017,37.481987,0.20910972,0.98536974,101.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98536974,1.0000072,0.016552277,35.935654,0.21118012,0.98454136,102.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98454136,1.0001842,0.016808037,35.60441,0.21325052,0.9846425,103.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9846425,1.0000664,0.016791295,35.56737,0.21532091,0.9845732,104.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9845732,1.0000786,0.016877256,35.01393,0.2173913,0.98391086,105.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98391086,1.0001239,0.016920812,35.82331,0.2194617,0.98405975,106.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98405975,1.0000522,0.016783996,36.834045,0.22153209,0.9839848,107.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9839848,1.0000494,0.016866393,34.843067,0.22360249,0.98327845,108.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98327845,1.0001936,0.016913842,35.63071,0.22567287,0.983474,109.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.983474,1.000068,0.016889552,37.5262,0.22774327,0.9834385,110.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9834385,1.000101,0.016900247,36.245964,0.22981367,0.98290926,111.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98290926,1.0001286,0.016682535,36.650505,0.23188406,0.98314255,112.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98314255,1.0001626,0.016602492,35.294743,0.23395444,0.98269,113.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98269,1.0001197,0.016970662,35.46424,0.23602484,0.9823093,114.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9823093,1.0000987,0.016826097,35.332237,0.23809524,0.9824746,115.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9824746,1.0001327,0.016827654,36.23341,0.24016564,0.9823147,116.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.9823147,1.000093,0.016928218,36.298916,0.24223602,0.98180014,117.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98180014,1.0001329,0.016813325,36.4156,0.24430642,0.98177975,118.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98177975,1.0000529,0.016660593,35.463135,0.24637681,0.98123384,119.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
0.98123384,1.0001674,0.016877264,35.632698,0.24844721,0.98122185,120.0,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,1.0480543375015259,483
