epoch,train_mse,val_mse,lr
1,0.010416174920652001,0.0003376154163095356,0.001
2,0.00312365651549848,0.00020311561090881848,0.001
3,0.0017417828892862862,0.00028766498740576075,0.001
4,0.0007551372084744141,0.00011182438875020971,0.001
5,0.00030248636367792906,0.00010611662812471213,0.001
6,0.00014451972595062914,0.00010779273071517981,0.001
7,0.00011161294231830801,0.00010159345872886624,0.001
8,0.00010554892603807887,0.00010517388820278589,0.001
9,0.00010044310637285668,0.00011497506604254563,0.001
10,9.61515861879848e-05,0.00011346084976457816,0.001
11,0.0001537078512419673,0.00010178943499763432,0.001
12,9.007054236211802e-05,0.00010880069785899474,0.001
13,8.419900992316578e-05,0.00014344432331707467,0.001
14,8.968612814684521e-05,9.831039361605632e-05,0.001
15,8.136758397266299e-05,0.00012008986510455801,0.001
16,8.107770312882385e-05,0.00010706733908691135,0.001
17,0.00021647498298432892,0.00010802979297085862,0.001
18,8.740864779051413e-05,0.00011528504444090521,0.001
19,0.00017507954398551228,0.00011340409640424635,0.001
20,8.858123082166226e-05,9.561021472863858e-05,0.001
21,8.066574396090819e-05,0.00010505188235630463,0.001
22,8.014848293869495e-05,0.00010173636322749496,0.001
23,7.661617275124686e-05,9.902278802243608e-05,0.001
24,7.523311845897336e-05,0.000104602752064835,0.001
25,0.0012394092098200343,0.0001324659602755479,0.001
26,0.00011039229532669667,9.9709835536896e-05,0.001
27,9.017472059940132e-05,0.0001072298564553204,0.001
28,9.722093416660832e-05,0.0001386887995498299,0.001
29,8.518615857336252e-05,0.00011231390691892166,0.0005
30,7.703764584577431e-05,0.00010864948114068724,0.0005
31,7.456849107807246e-05,0.00010788309489812455,0.0005
32,7.286934774488905e-05,0.00010651885415375845,0.0005
33,7.266351959926458e-05,0.00010191952945950346,0.0005
34,7.165375056992608e-05,0.00010363250206406843,0.0005
35,7.046433136823474e-05,0.00010375886662317424,0.0005
36,7.192374737183152e-05,0.00010974454399880076,0.0005
37,6.792297007744168e-05,0.0001083810084491576,0.0005
38,6.791131392741012e-05,0.00010167232034965256,0.00025
39,6.318034180709957e-05,0.00010186797678116977,0.00025
40,6.179983485122806e-05,0.00011063761348566069,0.00025
