barcode,num_channels,channels,total_cycles_max,batches
el150800440551,1,['FastCharge_000000_CH19_structure.json'],490,['batch3']
el150800737229,1,['FastCharge_000001_CH16_structure.json'],666,['batch3']
el150800737366,1,['FastCharge_000001_CH30_structure.json'],772,['batch3']
el150800737234,1,['FastCharge_000001_CH38_structure.json'],541,['batch3']
el150800737329,1,['FastCharge_000002_CH10_structure.json'],1009,['batch3']
el150800737233,1,['FastCharge_000002_CH18_structure.json'],828,['batch3']
el150800737315,1,['FastCharge_000002_CH2_structure.json'],813,['batch3']
el150800737368,1,['FastCharge_000002_CH34_structure.json'],825,['batch3']
el150800737304,1,['FastCharge_000002_CH42_structure.json'],1284,['batch3']
el150800737334,1,['FastCharge_000002_CH47_structure.json'],1935,['batch3']
el150800737367,1,['FastCharge_000002_CH7_structure.json'],1046,['batch3']
EL150800460525,1,['FastCharge_000003_CH39_structure.json'],742,['batch3']
EL150800460622,1,['FastCharge_000003_CH40_structure.json'],703,['batch3']
EL150800460514,2,"['FastCharge_000004_CH1_structure.json', 'FastCharge_000045_CH1_structure.json']",1189,['batch3']
EL150800460486,2,"['FastCharge_000004_CH2_structure.json', 'FastCharge_000045_CH2_structure.json']",1178,['batch3']
EL150800460623,2,"['FastCharge_000004_CH3_structure.json', 'FastCharge_000045_CH3_structure.json']",1176,['batch3']
el150800460480,1,['FastCharge_000005_CH18_structure.json'],524,['batch3']
el150800737313,1,['FastCharge_000006_CH11_structure.json'],1063,['batch3']
el150800737270,1,['FastCharge_000006_CH19_structure.json'],1039,['batch3']
el150800737378,1,['FastCharge_000006_CH27_structure.json'],1315,['batch3']
el150800737259,1,['FastCharge_000006_CH35_structure.json'],989,['batch3']
EL150800737380,1,['FastCharge_000006_CH3_structure.json'],935,['batch3']
el150800737350,1,['FastCharge_000006_CH43_structure.json'],1158,['batch3']
el150800737361,1,['FastCharge_000006_CH48_structure.json'],1156,['batch3']
el150800737369,1,['FastCharge_000006_CH8_structure.json'],940,['batch3']
el150800737386,1,['FastCharge_000007_CH24_structure.json'],876,['batch3']
el150800737320,1,['FastCharge_000007_CH39_structure.json'],858,['batch3']
EL150800460485,1,['FastCharge_000008_CH47_structure.json'],616,['batch3']
EL150800460656,1,['FastCharge_000008_CH48_structure.json'],599,['batch3']
el150800460597,1,['FastCharge_000009_CH4_structure.json'],525,['batch3']
el150800460611,1,['FastCharge_000009_CH7_structure.json'],488,['batch3']
el150800460596,1,['FastCharge_000009_CH8_structure.json'],499,['batch3']
el150800460498,1,['FastCharge_000010_CH44_structure.json'],488,['batch3']
el150800460604,1,['FastCharge_000011_CH26_structure.json'],523,['batch3']
el150800737280,1,['FastCharge_000012_CH13_structure.json'],1115,['batch3']
el150800737213,1,['FastCharge_000012_CH15_structure.json'],827,['batch3']
el150800737314,1,['FastCharge_000012_CH21_structure.json'],932,['batch3']
el150800737387,1,['FastCharge_000012_CH23_structure.json'],858,['batch3']
el150800737275,1,['FastCharge_000012_CH29_structure.json'],1155,['batch3']
el150800737251,1,['FastCharge_000012_CH37_structure.json'],850,['batch3']
