cell_id,n_sequences,soh_min,soh_max,MAE (%),RMSE (%),R2,MaxE (%),PICP (%)
EL150800464865,1608,0.8703,1.0,4.2413,5.803,-3.0466,17.8695,59.0796
EL150800460486,2059,0.8564,1.0,4.1533,5.9183,-2.1966,18.8756,64.1088
el150800737350,1058,0.8476,0.9997,4.301,5.0985,-0.6057,12.5963,56.2382
el150800737378,1215,0.8389,0.9995,3.484,4.9252,-0.3793,14.4628,68.7243
el150800739476,948,0.8336,1.0,3.1006,4.9177,-0.2742,13.8899,69.5148
el150800737213,727,0.8436,1.0,2.9632,3.7115,-0.0258,10.3905,65.0619
EL150800460468,954,0.8178,1.0,3.2697,4.5487,0.0259,18.0447,71.9078
EL150800460647,951,0.8194,1.0,3.2839,4.5192,0.0363,14.6329,71.6088
EL150800463198,742,0.8347,1.0,3.2888,4.2823,0.091,13.8021,70.2156
el150800737315,713,0.8755,1.0,1.6836,2.9862,0.2532,12.2545,86.115
el150800737314,832,0.8584,1.0,1.9502,3.3473,0.2647,14.3098,80.8894
EL150800463871,459,0.8114,0.994,2.8675,3.7197,0.2682,12.796,64.2702
EL150800460642,525,0.8414,1.0,3.0986,3.9567,0.319,9.7177,68.381
EL150800460615,609,0.8546,1.0,2.4551,3.4334,0.3595,11.3045,77.0115
el150800739495,686,0.8597,1.0,1.8774,2.8897,0.4494,10.4962,86.4431
EL150800460525,642,0.8585,1.0,1.9058,3.0859,0.4556,11.842,86.6044
EL150800460640,631,0.8275,1.0,2.1751,3.3119,0.5237,12.8044,82.0919
el150800737319,716,0.8256,1.0,1.9071,2.8038,0.5523,10.3081,86.0335
el150800460634,446,0.7701,0.9835,2.9655,3.3933,0.567,8.3174,67.9372
el150800460610,442,0.778,1.0,2.5819,3.4972,0.6831,13.5156,81.448
el150800460478,426,0.7708,1.0,2.2919,3.0951,0.7458,11.6064,83.0986
