future_soh_true,future_soh_pred,future_soh_std,ci_low,ci_high,prediction_error,abs_error_percent,current_soh_true,current_soh_pred,current_error,eol_true,eol_pred_prob,eol_pred_binary
1.0,0.99551857,0.0056492337,0.98444605,1.0065911,0.004481435,0.44814348,1.0,0.9987973,0.0012027025,0.0,5.2418824e-12,0
1.0,0.99377334,0.0052732597,0.9834378,1.0041089,0.006226659,0.6226659,1.0,0.9989279,0.0010721087,0.0,4.8330936e-12,0
1.0,0.9852495,0.009319122,0.96698403,1.003515,0.014750481,1.4750481,1.0,0.99878985,0.0012101531,0.0,6.4957905e-12,0
1.0,0.98661244,0.014148842,0.9588807,1.0143442,0.013387561,1.3387561,1.0,0.9987478,0.0012521744,0.0,8.167775e-12,0
1.0,0.98867923,0.008331581,0.97234935,1.0050092,0.01132077,1.132077,1.0,0.99857104,0.0014289618,0.0,9.815417e-12,0
1.0,0.9897996,0.008343806,0.9734458,1.0061535,0.010200381,1.0200381,1.0,0.9986319,0.0013681054,0.0,8.658491e-12,0
1.0,0.9896285,0.007818276,0.9743047,1.0049523,0.010371506,1.0371506,1.0,0.9983016,0.0016983747,0.0,6.829197e-12,0
1.0,0.9926416,0.0052671297,0.98231804,1.0029652,0.007358372,0.7358372,1.0,0.9987583,0.001241684,0.0,5.302893e-12,0
1.0,0.9946138,0.00472151,0.98535967,1.003868,0.0053861737,0.5386174,1.0,0.9987191,0.0012809038,0.0,6.063746e-12,0
1.0,0.9961956,0.0047743213,0.9868379,1.0055532,0.0038043857,0.38043857,1.0,0.9987992,0.0012007952,0.0,4.858483e-12,0
1.0,0.9911992,0.010693859,0.9702392,1.0121591,0.008800805,0.88008046,1.0,0.9988223,0.0011777282,0.0,4.807195e-12,0
1.0,0.99548244,0.0050334753,0.9856168,1.0053481,0.0045175552,0.45175552,1.0,0.998862,0.0011379719,0.0,4.7781167e-12,0
1.0,0.996102,0.002837371,0.99054074,1.0016632,0.0038980246,0.38980246,1.0,0.9988689,0.0011311173,0.0,4.6744167e-12,0
1.0,0.9950143,0.00484397,0.9855201,1.0045085,0.00498569,0.498569,1.0,0.998922,0.0010780096,0.0,4.573342e-12,0
1.0,0.9952739,0.0059503126,0.9836113,1.0069366,0.004726112,0.4726112,1.0,0.9988514,0.0011485815,0.0,4.668242e-12,0
1.0,0.99599457,0.0045650764,0.987047,1.004942,0.004005432,0.4005432,1.0,0.99879384,0.0012061596,0.0,5.156207e-12,0
1.0,0.99305516,0.0072886874,0.97876936,1.007341,0.006944835,0.6944835,1.0,0.9989856,0.0010144114,0.0,4.2347514e-12,0
1.0,0.99607277,0.0068298522,0.9826863,1.0094593,0.003927231,0.39272308,1.0,0.99885285,0.001147151,0.0,4.7430857e-12,0
1.0,0.99594843,0.0035811702,0.98892933,1.0029675,0.004051566,0.4051566,1.0,0.99877506,0.001224935,0.0,4.9134377e-12,0
1.0,0.9920184,0.0142693,0.9640506,1.0199863,0.007981598,0.79815984,1.0,0.99884725,0.0011527538,0.0,5.032327e-12,0
1.0,0.9945508,0.0070970333,0.98064065,1.008461,0.005449176,0.5449176,1.0,0.9989359,0.0010641217,0.0,4.271695e-12,0
1.0,0.99555266,0.004351685,0.98702335,1.004082,0.004447341,0.4447341,1.0,0.9988305,0.0011695027,0.0,4.7330998e-12,0
1.0,0.9963187,0.0048496607,0.98681337,1.0058241,0.003681302,0.3681302,1.0,0.9989594,0.0010405779,0.0,4.379982e-12,0
1.0,0.9955182,0.004867992,0.98597693,1.0050595,0.0044817924,0.44817924,1.0,0.99886096,0.0011390448,0.0,4.4757076e-12,0
1.0,0.99337435,0.006547519,0.9805412,1.0062075,0.0066256523,0.66256523,1.0,0.9988319,0.0011680722,0.0,4.560572e-12,0
1.0,0.9937396,0.0055616945,0.9828387,1.0046406,0.006260395,0.6260395,1.0,0.9987337,0.0012663007,0.0,5.131571e-12,0
1.0,0.9936563,0.0068452293,0.9802396,1.0070729,0.0063437223,0.63437223,1.0,0.99882466,0.001175344,0.0,4.591171e-12,0
1.0,0.99101985,0.011643646,0.9681983,1.0138414,0.008980155,0.8980155,1.0,0.9988361,0.0011638999,0.0,4.684779e-12,0
1.0,0.996528,0.0026239015,0.99138516,1.0016708,0.0034719706,0.34719706,1.0,0.99877864,0.0012213588,0.0,4.9745906e-12,0
1.0,0.99411905,0.0073707574,0.9796724,1.0085658,0.005880952,0.5880952,1.0,0.99889934,0.0011006594,0.0,4.4630914e-12,0
1.0,0.9940816,0.007818911,0.97875655,1.0094067,0.0059183836,0.59183836,1.0,0.9987503,0.001249671,0.0,4.8827856e-12,0
1.0,0.9932291,0.006330789,0.9808207,1.0056374,0.006770909,0.6770909,1.0,0.9987778,0.0012221932,0.0,4.843974e-12,0
1.0,0.9944913,0.0046176156,0.98544073,1.0035418,0.005508721,0.5508721,1.0,0.99863106,0.0013689399,0.0,5.645719e-12,0
1.0,0.99567574,0.0044522854,0.98694927,1.0044023,0.0043242574,0.43242574,1.0,0.9987018,0.0012981892,0.0,5.040117e-12,0
1.0,0.9921428,0.008149875,0.97616905,1.0081166,0.0078572035,0.78572035,1.0,0.99862874,0.0013712645,0.0,5.533301e-12,0
1.0,0.990627,0.010392893,0.9702569,1.010997,0.009373009,0.9373009,1.0,0.99865794,0.0013420582,0.0,5.083835e-12,0
1.0,0.9887428,0.010379321,0.96839935,1.0090863,0.011257172,1.1257172,1.0,0.9984578,0.0015422106,0.0,5.7163558e-12,0
1.0,0.98723495,0.0123211825,0.9630854,1.0113845,0.01276505,1.276505,1.0,0.99840575,0.0015942454,0.0,6.2170586e-12,0
1.0,0.9905356,0.0062068235,0.97837025,1.002701,0.009464383,0.9464383,1.0,0.9984353,0.0015646815,0.0,6.116354e-12,0
1.0,0.9920759,0.005648674,0.98100454,1.0031474,0.00792408,0.792408,1.0,0.99852633,0.0014736652,0.0,5.5489003e-12,0
1.0,0.99126214,0.007686062,0.9761975,1.0063268,0.008737862,0.8737862,1.0,0.99848795,0.0015120506,0.0,5.61326e-12,0
1.0,0.99086016,0.008714645,0.97377944,1.0079409,0.009139836,0.9139836,1.0,0.9984976,0.0015023947,0.0,5.6190014e-12,0
1.0,0.9913386,0.0055225836,0.98051435,1.0021629,0.008661389,0.86613894,1.0,0.99847287,0.0015271306,0.0,5.761322e-12,0
1.0,0.99132663,0.004351625,0.98279744,0.9998558,0.00867337,0.867337,1.0,0.9985077,0.0014923215,0.0,5.469003e-12,0
1.0,0.99234515,0.0074292906,0.97778374,1.0069065,0.0076548457,0.7654846,1.0,0.9984906,0.001509428,0.0,6.1369083e-12,0
1.0,0.99000823,0.0090174675,0.972334,1.0076824,0.009991765,0.9991765,1.0,0.99866354,0.0013364553,0.0,5.22593e-12,0
1.0,0.99227273,0.004636046,0.98318607,1.0013593,0.0077272654,0.77272654,1.0,0.9984987,0.0015013218,0.0,5.6400037e-12,0
1.0,0.9882226,0.009506431,0.96959,1.0068552,0.011777401,1.1777401,1.0,0.9982362,0.0017638206,0.0,6.5049407e-12,0
1.0,0.9894212,0.0083948,0.9729674,1.005875,0.010578811,1.0578811,1.0,0.99821126,0.0017887354,0.0,6.398206e-12,0
1.0,0.98786944,0.008882808,0.97045916,1.0052798,0.0121305585,1.2130558,1.0,0.9982139,0.0017861128,0.0,6.5340884e-12,0
1.0,0.9857336,0.012778222,0.9606883,1.0107789,0.014266372,1.4266372,1.0,0.9982212,0.0017787814,0.0,6.6610307e-12,0
1.0,0.9908773,0.0060181567,0.9790817,1.0026729,0.009122729,0.91227293,1.0,0.99828327,0.001716733,0.0,6.3378894e-12,0
1.0,0.985458,0.013234922,0.9595176,1.0113984,0.014541984,1.4541984,1.0,0.99821824,0.0017817616,0.0,6.462449e-12,0
1.0,0.9878647,0.008551176,0.9711044,1.004625,0.012135327,1.2135327,1.0,0.99825007,0.0017499328,0.0,6.214521e-12,0
1.0,0.9837638,0.015826607,0.95274365,1.014784,0.016236186,1.6236186,1.0,0.99817383,0.0018261671,0.0,6.585361e-12,0
1.0,0.98810464,0.00615383,0.9760431,1.0001662,0.011895359,1.1895359,1.0,0.9981187,0.0018813014,0.0,6.8390645e-12,0
1.0,0.9850548,0.006422477,0.9724667,0.9976429,0.014945209,1.4945209,1.0,0.99812335,0.0018766522,0.0,6.990427e-12,0
1.0,0.97513807,0.013673424,0.94833815,1.001938,0.024861932,2.4861932,1.0,0.998041,0.0019590259,0.0,7.313088e-12,0
1.0,0.97910136,0.011067469,0.95740914,1.0007936,0.02089864,2.089864,1.0,0.99796045,0.0020395517,0.0,7.498774e-12,0
1.0,0.976604,0.02248415,0.93253505,1.0206729,0.023396015,2.3396015,1.0,0.9979961,0.0020039082,0.0,7.095554e-12,0
1.0,0.97632647,0.015119394,0.94669247,1.0059605,0.023673534,2.3673534,1.0,0.9978892,0.0021107793,0.0,7.357831e-12,0
1.0,0.98260623,0.011265152,0.9605265,1.0046859,0.017393768,1.7393768,1.0,0.9980394,0.0019605756,0.0,6.8583845e-12,0
1.0,0.9827286,0.013293372,0.9566736,1.0087836,0.0172714,1.72714,1.0,0.998111,0.0018889904,0.0,6.6290654e-12,0
1.0,0.9782149,0.020676179,0.9376896,1.0187402,0.02178508,2.178508,1.0,0.99805224,0.0019477606,0.0,6.8985564e-12,0
1.0,0.99628294,0.003954556,0.988532,1.0040339,0.0037170649,0.3717065,1.0,0.99860364,0.001396358,0.0,1.7862191e-11,0
1.0,0.9961947,0.0052952897,0.98581594,1.0065734,0.0038052797,0.38052797,1.0,0.9986284,0.0013716221,0.0,1.8606006e-11,0
1.0,0.9961835,0.0042574075,0.987839,1.004528,0.0038164854,0.38164854,1.0,0.99857354,0.0014264584,0.0,2.1784222e-11,0
1.0,0.9934341,0.007774222,0.9781966,1.0086715,0.0065659285,0.65659285,1.0,0.99848974,0.0015102625,0.0,2.1215115e-11,0
1.0,0.9968398,0.002971291,0.9910161,1.0026635,0.0031601787,0.31601787,1.0,0.9984579,0.0015420914,0.0,2.0794779e-11,0
1.0,0.9945399,0.0043866155,0.9859421,1.0031377,0.0054600835,0.54600835,1.0,0.99847645,0.0015235543,0.0,2.40451e-11,0
1.0,0.9964038,0.00668771,0.9832959,1.0095117,0.0035961866,0.35961866,1.0,0.9985436,0.0014563799,0.0,2.1439331e-11,0
1.0,0.99377596,0.006511527,0.98101336,1.0065385,0.006224036,0.6224036,1.0,0.9984793,0.0015206933,0.0,2.1211633e-11,0
1.0,0.99261475,0.007606643,0.9777057,1.0075238,0.007385254,0.7385254,1.0,0.99836284,0.0016371608,0.0,2.6637541e-11,0
1.0,0.9905923,0.007911265,0.9750862,1.0060984,0.009407699,0.9407699,1.0,0.9980927,0.001907289,0.0,3.1873667e-11,0
1.0,0.9938079,0.0039912285,0.9859851,1.0016307,0.006192088,0.6192088,1.0,0.9981858,0.0018141866,0.0,3.762232e-11,0
1.0,0.99244946,0.007283078,0.9781746,1.0067242,0.0075505376,0.75505376,1.0,0.9979777,0.002022326,0.0,3.8241615e-11,0
1.0,0.99726564,0.0022133177,0.99292755,1.0016037,0.002734363,0.2734363,1.0,0.99843305,0.0015669465,0.0,2.8373368e-11,0
1.0,0.9942158,0.0042467453,0.9858922,1.0025394,0.0057842135,0.57842135,1.0,0.9984067,0.0015932918,0.0,2.4658591e-11,0
1.0,0.99521905,0.0037889902,0.9877926,1.0026455,0.004780948,0.47809482,1.0,0.99834657,0.0016534328,0.0,2.1327416e-11,0
1.0,0.9960512,0.004129433,0.9879575,1.0041449,0.0039488077,0.39488077,1.0,0.9984383,0.0015617013,0.0,2.3431984e-11,0
1.0,0.9957386,0.00415434,0.9875961,1.0038811,0.0042613745,0.42613745,1.0,0.9983847,0.0016152859,0.0,2.5432462e-11,0
1.0,0.99455297,0.0059321662,0.98292595,1.00618,0.00544703,0.544703,1.0,0.9982957,0.0017042756,0.0,2.6796482e-11,0
1.0,0.994222,0.0042002685,0.98598945,1.0024545,0.0057780147,0.57780147,1.0,0.9981857,0.0018143058,0.0,2.6104943e-11,0
1.0,0.9930681,0.005444065,0.98239774,1.0037385,0.006931901,0.6931901,1.0,0.99820876,0.0017912388,0.0,3.209389e-11,0
1.0,0.99410933,0.0049898415,0.9843292,1.0038894,0.0058906674,0.58906674,1.0,0.9980653,0.0019347072,0.0,2.8898458e-11,0
1.0,0.989919,0.008510612,0.9732382,1.0065998,0.010080993,1.0080993,1.0,0.99810314,0.0018968582,0.0,3.187756e-11,0
1.0,0.9950609,0.00325954,0.9886722,1.0014496,0.0049390793,0.49390793,1.0,0.9987999,0.0012000799,0.0,1.761084e-11,0
1.0,0.99470294,0.0064951717,0.9819724,1.0074334,0.005297065,0.5297065,1.0,0.9986846,0.0013154149,0.0,1.8499704e-11,0
1.0,0.9939871,0.0041373023,0.985878,1.0020962,0.0060129166,0.60129166,1.0,0.9981001,0.001899898,0.0,2.9334063e-11,0
1.0,0.9947578,0.00504508,0.9848694,1.0046462,0.0052422285,0.52422285,1.0,0.9982033,0.0017967224,0.0,3.2893098e-11,0
1.0,0.99583256,0.0031692828,0.98962075,1.0020443,0.0041674376,0.41674376,1.0,0.99812096,0.0018790364,0.0,3.5780795e-11,0
1.0,0.99109304,0.0071010315,0.977175,1.0050111,0.0089069605,0.89069605,1.0,0.99816304,0.0018369555,0.0,3.549097e-11,0
1.0,0.9935732,0.004394464,0.98496,1.0021863,0.006426811,0.6426811,1.0,0.9980621,0.0019379258,0.0,4.179769e-11,0
1.0,0.9927796,0.004480103,0.9839986,1.0015606,0.0072203875,0.72203875,1.0,0.9980034,0.0019965768,0.0,3.844031e-11,0
1.0,0.9939831,0.007842697,0.9786114,1.0093548,0.00601691,0.601691,1.0,0.9980969,0.0019031167,0.0,3.928163e-11,0
1.0,0.9927945,0.0055059716,0.9820028,1.0035862,0.0072054863,0.7205486,1.0,0.9977877,0.002212286,0.0,4.3195947e-11,0
1.0,0.99288034,0.0056989137,0.9817105,1.0040503,0.0071196556,0.71196556,1.0,0.99739766,0.0026023388,0.0,4.100317e-11,0
1.0,0.99584687,0.0026127668,0.9907258,1.0009679,0.0041531324,0.41531324,1.0,0.99780613,0.0021938682,0.0,3.8929204e-11,0
1.0,0.994645,0.004439119,0.98594433,1.0033457,0.0053550005,0.53550005,1.0,0.99809116,0.0019088387,0.0,3.6973535e-11,0
1.0,0.9929986,0.005334925,0.98254216,1.003455,0.0070014,0.70014,1.0,0.9978611,0.0021389127,0.0,4.4635698e-11,0
1.0,0.99423254,0.004331218,0.98574334,1.0027217,0.0057674646,0.57674646,1.0,0.9976428,0.002357185,0.0,4.9953205e-11,0
1.0,0.99368924,0.008085831,0.977841,1.0095375,0.006310761,0.6310761,1.0,0.9976528,0.0023471713,0.0,5.2126727e-11,0
1.0,0.99155027,0.006965387,0.9778981,1.0052024,0.008449733,0.8449733,1.0,0.99740356,0.002596438,0.0,6.8671846e-11,0
1.0,0.99318886,0.0075608315,0.97836965,1.0080081,0.006811142,0.6811142,1.0,0.99731904,0.0026809573,0.0,9.154704e-11,0
1.0,0.98744357,0.009895664,0.9680481,1.006839,0.012556434,1.2556434,1.0,0.99726534,0.002734661,0.0,1.05978705e-10,0
1.0,0.9766264,0.021300096,0.93487823,1.0183746,0.023373604,2.3373604,1.0,0.99630654,0.0036934614,0.0,2.2040388e-10,0
1.0,0.9838071,0.014466985,0.9554518,1.0121623,0.016192913,1.6192913,1.0,0.99616385,0.003836155,0.0,2.473237e-10,0
1.0,0.9867913,0.008878279,0.9693899,1.0041927,0.013208687,1.3208687,1.0,0.9968901,0.0031098723,0.0,1.4937299e-10,0
1.0,0.9909123,0.0067890845,0.9776057,1.0042189,0.009087682,0.9087682,1.0,0.99711406,0.0028859377,0.0,1.07324524e-10,0
1.0,0.990842,0.004211966,0.9825865,0.99909747,0.009158015,0.9158015,1.0,0.996064,0.0039359927,0.0,1.877553e-10,0
1.0,0.9900487,0.0055743945,0.9791229,1.0009745,0.0099512935,0.99512935,1.0,0.9962321,0.0037679076,0.0,1.8421266e-10,0
1.0,0.99374926,0.005274671,0.9834109,1.0040876,0.006250739,0.6250739,1.0,0.99675745,0.0032425523,0.0,1.1984912e-10,0
1.0,0.99202,0.0045539513,0.9830943,1.0009458,0.007979989,0.7979989,1.0,0.99650145,0.0034985542,0.0,1.4924655e-10,0
1.0,0.9915532,0.0069585973,0.97791433,1.005192,0.008446813,0.84468126,1.0,0.99629813,0.0037018657,0.0,1.9047462e-10,0
1.0,0.98953885,0.00722603,0.97537583,1.0037019,0.010461152,1.0461152,1.0,0.99636555,0.0036344528,0.0,1.4896698e-10,0
0.99896276,0.98072356,0.0111176185,0.95893306,1.0025141,0.0182392,1.82392,1.0,0.99604887,0.0039511323,0.0,2.5842045e-10,0
1.0,0.9569844,0.024057537,0.90983164,1.0041372,0.0430156,4.30156,1.0,0.9942772,0.0057228208,0.0,1.0555733e-09,0
1.0,0.9751889,0.009005004,0.9575391,0.99283874,0.024811089,2.481109,1.0,0.995174,0.0048260093,0.0,5.161998e-10,0
1.0,0.9766327,0.010424089,0.9562015,0.99706393,0.023367286,2.3367286,1.0,0.9958501,0.004149914,0.0,2.2004892e-10,0
1.0,0.98653376,0.007212108,0.97239804,1.0006695,0.013466239,1.3466239,1.0,0.99629116,0.0037088394,0.0,1.839065e-10,0
1.0,0.9906635,0.0074895145,0.9759841,1.005343,0.009336472,0.93364716,1.0,0.9962012,0.0037987828,0.0,2.1936795e-10,0
1.0,0.98576605,0.009325429,0.9674882,1.0040439,0.014233947,1.4233947,1.0,0.99527454,0.0047254562,0.0,3.9395098e-10,0
1.0,0.96988887,0.021208547,0.9283201,1.0114576,0.030111134,3.0111134,1.0,0.99442804,0.0055719614,0.0,9.520063e-10,0
1.0,0.9574316,0.018426474,0.9213157,0.9935475,0.042568386,4.256839,1.0,0.9922517,0.007748306,0.0,3.816187e-09,0
0.99983186,0.9427614,0.026113579,0.8915788,0.99394405,0.057070434,5.7070436,1.0,0.99180764,0.00819236,0.0,7.0606263e-09,0
0.99978775,0.95896375,0.016876247,0.92588633,0.9920412,0.040823996,4.0823994,1.0,0.9911532,0.008846819,0.0,9.520703e-09,0
0.9997205,0.94758195,0.019984577,0.90841216,0.98675174,0.052138567,5.2138567,1.0,0.9890315,0.010968506,0.0,2.0853236e-08,0
0.9998584,0.961321,0.018921506,0.92423487,0.9984071,0.038537383,3.8537383,1.0,0.99114203,0.0088579655,0.0,8.844058e-09,0
0.9999759,0.99566144,0.0034948476,0.98881155,1.0025114,0.004314482,0.43144822,1.0,0.99813974,0.001860261,0.0,4.4378484e-11,0
1.0,0.9945549,0.0052465647,0.9842716,1.0048381,0.0054451227,0.5445123,1.0,0.9985838,0.0014162064,0.0,1.8578203e-11,0
0.99997556,0.9951193,0.004387082,0.9865206,1.0037179,0.0048562884,0.48562884,1.0,0.9986884,0.0013116002,0.0,2.1945406e-11,0
0.9999662,0.9932116,0.008521096,0.9765103,1.009913,0.006754577,0.6754577,1.0,0.9987074,0.0012925863,0.0,3.01798e-11,0
0.99992234,0.99600285,0.0028823025,0.9903535,1.0016521,0.003919482,0.39194822,1.0,0.99861526,0.0013847351,0.0,2.502351e-11,0
0.9998071,0.99709356,0.0021880805,0.99280494,1.0013822,0.002713561,0.2713561,1.0,0.99862635,0.0013736486,0.0,3.111798e-11,0
0.99966234,0.99519235,0.003541593,0.98825085,1.0021338,0.0044699907,0.44699907,1.0,0.99832934,0.0016706586,0.0,3.1453215e-11,0
0.9994324,0.99489653,0.0053717145,0.98436797,1.0054251,0.004535854,0.4535854,1.0,0.9984037,0.001596272,0.0,3.2266734e-11,0
0.9994488,0.99241936,0.008980412,0.97481775,1.010021,0.007029414,0.7029414,1.0,0.9983084,0.0016915798,0.0,3.8023567e-11,0
0.99937636,0.99441415,0.0048644925,0.98487973,1.0039486,0.004962206,0.4962206,1.0,0.99774677,0.0022532344,0.0,6.377838e-11,0
0.9993299,0.9929495,0.005478742,0.9822112,1.0036879,0.006380439,0.6380439,1.0,0.997908,0.0020920038,0.0,7.919775e-11,0
0.9992571,0.9916803,0.0065940805,0.97875595,1.0046047,0.0075767636,0.75767636,1.0,0.99720407,0.0027959347,0.0,1.0709428e-10,0
0.99921155,0.99346626,0.0046078586,0.98443484,1.0024977,0.0057452917,0.5745292,1.0,0.99760157,0.0023984313,0.0,8.288304e-11,0
0.9991136,0.9945613,0.0047211964,0.98530775,1.0038148,0.0045523047,0.45523047,1.0,0.9981944,0.0018056035,0.0,5.2123743e-11,0
0.999018,0.99044436,0.016397005,0.95830625,1.0225825,0.008573651,0.85736513,1.0,0.9981659,0.0018340945,0.0,4.4358513e-11,0
0.9990217,0.9945555,0.0040119197,0.98669213,1.0024189,0.0044662356,0.44662356,1.0,0.9975752,0.0024247766,0.0,1.3293569e-10,0
0.9989974,0.9932457,0.004683695,0.98406565,1.0024258,0.0057516694,0.57516694,1.0,0.99728847,0.0027115345,0.0,1.7797179e-10,0
0.9989871,0.9926491,0.008853859,0.97529554,1.0100026,0.0063380003,0.6338,1.0,0.99765587,0.0023441315,0.0,9.1924454e-11,0
0.9989759,0.9956568,0.003180672,0.9894227,1.0018909,0.0033190846,0.33190846,1.0,0.9980305,0.0019695163,0.0,4.0003098e-11,0
0.99901634,0.9972496,0.0024546033,0.99243855,1.0020607,0.0017667413,0.17667413,1.0,0.99839044,0.0016095638,0.0,3.4895847e-11,0
0.99913365,0.99366534,0.0030169277,0.98775214,0.99957854,0.005468309,0.5468309,1.0,0.9975979,0.0024021268,0.0,7.4186e-11,0
0.9991849,0.99204075,0.011831586,0.96885085,1.0152307,0.007144153,0.7144153,1.0,0.9974368,0.0025631785,0.0,1.136127e-10,0
0.9990091,0.9932283,0.005952289,0.98156184,1.0048949,0.0057807565,0.57807565,1.0,0.9967843,0.0032156706,0.0,2.6155045e-10,0
0.9988434,0.9906678,0.0065671317,0.97779626,1.0035394,0.008175552,0.8175552,1.0,0.9957766,0.0042234063,0.0,1.3043469e-09,0
0.9987244,0.99050313,0.0068597756,0.977058,1.0039483,0.008221269,0.82212687,1.0,0.9953661,0.0046339035,0.0,3.5300016e-09,0
0.9986639,0.98827136,0.012137341,0.9644822,1.0120605,0.010392547,1.0392547,1.0,0.9937883,0.006211698,0.0,1.31348e-08,0
0.998608,0.98658353,0.011032687,0.96495944,1.0082076,0.012024462,1.2024462,1.0,0.99396557,0.006034434,0.0,6.906993e-09,0
0.99875426,0.9844202,0.01203018,0.960841,1.0079993,0.014334083,1.4334083,1.0,0.99370027,0.006299734,0.0,6.0294214e-09,0
0.9988207,0.9831263,0.019014303,0.94585824,1.0203943,0.01569444,1.569444,1.0,0.99459654,0.005403459,0.0,1.931277e-09,0
0.99889255,0.9891772,0.008819837,0.97189033,1.0064641,0.009715319,0.97153187,1.0,0.9937296,0.0062704086,0.0,6.5658895e-10,0
0.9989002,0.99144125,0.0073132664,0.9771072,1.0057752,0.0074589252,0.7458925,1.0,0.9968887,0.0031113029,0.0,1.07927015e-10,0
0.9988722,0.99220467,0.0055845957,0.98125887,1.0031505,0.0066675544,0.66675544,1.0,0.9965503,0.0034496784,0.0,2.670664e-10,0
